datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target
2025-06-11 15:30:00+00:00,SHIYAN-1 (SY-1),28220,,60.92,3.594,False,False
2025-04-29 15:40:00+00:00,SHIJIAN-6 01A (SJ-6 01A),28413,1A),78.91,7.266,False,False
2025-06-19 07:10:00+00:00,SHIJIAN-6 01A (SJ-6 01A),28413,1A),77.72,7.111,False,False
2025-05-02 01:10:00+00:00,IRS-P5 (CARTOSAT-1),28649,,60.9,5.608,False,False
2025-06-05 02:10:00+00:00,REIMEI (INDEX),28810,,83.4,3.192,True,False
2025-04-24 22:20:00+00:00,RESURS-DK 1,29228,,88.13,14.43,False,False
2025-05-03 23:30:00+00:00,SHIJIAN-6 02B (SJ-6 02B),29506,2B),99.54,6.597,False,False
2025-05-28 03:20:00+00:00,TERRASAR-X,31698,,95.38,8.754,False,True
2025-05-27 00:10:00+00:00,CARTOSAT-2A,32783,,95.39,3.056,False,False
2025-06-16 06:30:00+00:00,CARTOSAT-2A,32783,,93.28,3.052,True,False
2025-05-30 12:50:00+00:00,SHIJIAN-6 03B (SJ-6 03B),33409,3B),53.83,8.667,False,False
2025-05-22 07:40:00+00:00,STARS (KUKAI),33498,,93.3,14.491,True,False
2025-04-29 01:30:00+00:00,KKS-1 (KISEKI),33499,,95.63,14.915,False,False
2025-06-07 03:40:00+00:00,NANOSAT 1B,35685,,87.82,3.132,True,True
2025-06-05 13:20:00+00:00,APRIZESAT 3,35686,,37.2,6.687,True,False
2025-06-11 09:50:00+00:00,YAOGAN-11,37165,,86.43,13.212,True,False
2025-06-15 20:50:00+00:00,YAOGAN-11,37165,,90.39,13.24,False,False
2025-04-27 18:10:00+00:00,ZHEDA PIXING 1B,37166,,77.03,12.118,True,False
2025-05-24 07:30:00+00:00,SHIJIAN-6 04B (SJ-6 04B),37180,4B),82.45,9.88,True,False
2025-04-22 13:10:00+00:00,APRIZESAT 6,37793,,78.16,14.996,False,False
2025-04-30 16:50:00+00:00,CINEMA,38764,,86.12,14.986,True,False
2025-04-26 15:00:00+00:00,SJ-9A,38860,,99.77,11.159,True,False
2025-05-08 11:20:00+00:00,GAOFEN-1,39150,,93.26,0.735,True,False
2025-06-03 12:40:00+00:00,GAOFEN-1,39150,,81.88,0.694,False,False
2025-05-31 17:30:00+00:00,IRIS,39197,,91.09,12.745,False,False
2025-04-26 08:30:00+00:00,POPACS 1,39268,,65.98,7.261,True,False
2025-05-13 14:40:00+00:00,SHIJIAN-16 (SJ-16),39358,,63.1,15.116,True,False
2025-04-23 18:20:00+00:00,APRIZESAT 7,39416,,94.96,13.217,True,False
2025-04-27 06:10:00+00:00,DUBAISAT-2,39419,,91.92,9.879,False,False
2025-05-22 21:20:00+00:00,TRITON-1,39427,,81.36,14.932,False,False
2025-06-19 12:50:00+00:00,NEE-02 KRYSAOR,39441,,74.48,14.108,True,False
2025-05-11 00:30:00+00:00,ALICE,39467,,64.55,3.281,True,False
2025-05-22 18:00:00+00:00,COSMOS 2494 (SKRL-756 2),39491,2),27.7,6.775,False,False
2025-05-08 06:30:00+00:00,UNIFORM 1,39767,,57.92,1.922,True,False
2025-05-28 02:30:00+00:00,UNIFORM 1,39767,,86.04,1.977,True,False
2025-06-17 00:50:00+00:00,UNIFORM 1,39767,,94.93,2.035,False,False
2025-05-27 22:30:00+00:00,SOCRATES,39768,,65.23,3.561,False,False
2025-06-10 05:10:00+00:00,RISING 2,39769,,52.91,1.038,True,False
2025-05-05 08:10:00+00:00,HODOYOSHI-4,40011,,79.23,12.964,True,True
2025-04-28 07:40:00+00:00,UNISAT-6,40012,,83.05,9.365,False,False
2025-06-21 11:40:00+00:00,DEIMOS-2,40013,,73.51,14.848,True,False
2025-06-20 12:40:00+00:00,SAUDISAT 4,40016,,99.28,9.243,True,False
2025-05-27 03:20:00+00:00,APRIZESAT 10,40019,,82.85,6.664,False,False
2025-06-03 01:30:00+00:00,QB50P1,40025,,76.76,11.257,False,True
2025-05-02 14:50:00+00:00,PERSEUS-M1,40039,,68.44,14.324,True,False
2025-05-12 20:50:00+00:00,PERSEUS-M1,40039,,73.6,14.308,True,True
2025-05-31 17:40:00+00:00,SKYSAT-B,40072,,92.71,14.314,False,False
2025-05-02 18:00:00+00:00,TECHDEMOSAT-1 (TDS-1),40076,,15.23,13.554,True,False
2025-05-02 20:20:00+00:00,WORLDVIEW-3 (WV-3),40115,,69.15,0.658,False,False
2025-05-24 18:40:00+00:00,WORLDVIEW-3 (WV-3),40115,,80.12,0.617,True,False
2025-05-30 05:40:00+00:00,WORLDVIEW-3 (WV-3),40115,,83.42,0.6,True,False
2025-05-24 02:40:00+00:00,BRITE-PL2 (HEWELIUSZ),40119,,84.14,3.348,True,False
2025-04-22 07:50:00+00:00,ASNARO,40298,,88.75,0.14,False,False
2025-04-28 07:40:00+00:00,ASNARO,40298,,76.47,0.157,False,False
2025-05-04 05:50:00+00:00,ASNARO,40298,,63.27,0.152,False,False
2025-05-04 06:00:00+00:00,ASNARO,40298,,90.8,0.156,False,False
2025-05-10 02:30:00+00:00,ASNARO,40298,,90.46,0.179,False,True
2025-05-15 22:10:00+00:00,ASNARO,40298,,65.33,0.161,True,False
2025-05-15 22:20:00+00:00,ASNARO,40298,,88.83,0.164,True,False
2025-05-21 16:20:00+00:00,ASNARO,40298,,71.56,0.17,False,False
2025-05-27 09:00:00+00:00,ASNARO,40298,,55.38,0.178,True,False
2025-06-13 03:20:00+00:00,ASNARO,40298,,93.73,0.179,False,False
2025-06-13 03:30:00+00:00,ASNARO,40298,,81.64,0.202,True,False
2025-06-20 06:10:00+00:00,DMC3-FM1,40715,,97.68,14.616,False,False
2025-06-06 03:50:00+00:00,PROPCUBE 3,40973,,41.51,12.391,True,False
2025-06-19 23:20:00+00:00,SNAP-3 JIMI,40975,,74.21,5.812,False,False
2025-06-14 00:10:00+00:00,YAOGAN-28,41026,,83.77,8.044,True,False
