x_km,y_km,z_km,datetime
2700.7969226637906,4905.735755744459,4090.1054692457833,2025-06-06 00:00:00+00:00
3922.12201881366,5724.852522746692,-127.76087822434644,2025-06-06 00:10:00+00:00
3517.9179038461216,4171.153389707523,-4293.171360739155,2025-06-06 00:20:00+00:00
1659.9474844324657,893.40923366068,-6681.12068579186,2025-06-06 00:30:00+00:00
-882.0895088344944,-2752.701222430999,-6309.179397475749,2025-06-06 00:40:00+00:00
-3059.485063256932,-5262.164791177888,-3327.6298874236036,2025-06-06 00:50:00+00:00
-3968.17477528715,-5589.965921883527,1035.580310645384,2025-06-06 01:00:00+00:00
-3227.2900153873866,-3594.0667860371304,4966.91037882638,2025-06-06 01:10:00+00:00
-1145.963986758203,-105.16214681181484,6830.693190052677,2025-06-06 01:20:00+00:00
1410.4543719198043,3427.6686013080175,5856.419776505723,2025-06-06 01:30:00+00:00
3382.224977587878,5539.936393575767,2449.104336772326,2025-06-06 01:40:00+00:00
3951.3773920615326,5354.788238946854,-1976.5606489578227,2025-06-06 01:50:00+00:00
2884.506289690577,2952.3102850991772,-5582.708458394249,2025-06-06 02:00:00+00:00
627.2555266522064,-668.8717265487039,-6880.267968211471,2025-06-06 02:10:00+00:00
-1888.2183700698006,-4014.185021408459,-5335.555338358291,2025-06-06 02:20:00+00:00
-3622.4227168771527,-5699.35174824177,-1580.5640966048911,2025-06-06 02:30:00+00:00
-3852.378251940438,-5018.077167570044,2831.3517646415617,2025-06-06 02:40:00+00:00
-2480.912490726334,-2250.7240544482365,6063.474493839911,2025-06-06 02:50:00+00:00
-79.90115478177,1450.9419199212432,6773.840661816349,2025-06-06 03:00:00+00:00
2354.224027972514,4551.577989159366,4670.593089895296,2025-06-06 03:10:00+00:00
3812.215174675784,5765.14651522917,626.2331406100383,2025-06-06 03:20:00+00:00
3689.797229251803,4588.590781931885,-3678.8866882481257,2025-06-06 03:30:00+00:00
2041.6924911614492,1514.3949819318836,-6460.105221253273,2025-06-06 03:40:00+00:00
-448.07719550664996,-2184.3622059528693,-6572.204957365644,2025-06-06 03:50:00+00:00
-2752.4922275964127,-4981.586041923968,-3967.2041923957695,2025-06-06 04:00:00+00:00
-3916.234794268292,-5714.8973571658,284.00071252365984,2025-06-06 04:10:00+00:00
-3452.2830824900607,-4073.055002188706,4416.360928855507,2025-06-06 04:20:00+00:00
-1554.0019974929153,-738.7794503677046,6709.741299187493,2025-06-06 04:30:00+00:00
988.6752955955708,2902.1702222826034,6214.7236866709345,2025-06-06 04:40:00+00:00
3121.5762658809263,5340.528054485702,3138.1216593012186,2025-06-06 04:50:00+00:00
3959.938698133584,5564.189073490989,-1243.1542574796056,2025-06-06 05:00:00+00:00
3157.984958396077,3482.8060639661016,-5108.991656019338,2025-06-06 05:10:00+00:00
1052.0906174672145,-36.98348020510937,-6861.136345899696,2025-06-06 05:20:00+00:00
-1487.1809610783737,-3541.4814820089027,-5779.17276616305,2025-06-06 05:30:00+00:00
-3411.4289471609795,-5582.305387453858,-2304.7033884820703,2025-06-06 05:40:00+00:00
